"No.","Date","Governor’s Name","Title","Occasion/Event","Link","Reason for Inclusion"
"1","2021-02-05","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1128","Key policy update influencing market sentiment and interest rates."
"2","2021-04-07","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1136","Important for signaling RBI’s stance during pandemic recovery."
"3","2021-06-04","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1145","Addresses liquidity and inflation concerns amid economic reopening."
"4","2021-08-06","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1156","Market-watch for inflation trajectory and growth outlook."
"5","2021-10-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1167","Mid-year review impacting investor expectations."
"6","2021-12-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1177","Sets the tone for 2022 monetary policy direction."
"7","2022-02-10","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1187","Early 2022 policy stance amid global uncertainties."
"8","2022-04-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1197","Addresses inflationary pressures and growth prospects."
"9","2022-06-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1207","Mid-year policy update amid geopolitical tensions."
"10","2022-08-05","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1217","Signals tightening measures to control inflation."
"11","2022-09-30","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1227","Special meeting during volatile market conditions."
"12","2022-12-07","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1237","Year-end review and outlook for 2023."
"13","2023-02-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1247","Early 2023 policy update reflecting inflation trends."
"14","2023-04-06","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1257","Addresses global economic risks and domestic growth."
"15","2023-06-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1267","Mid-year review impacting market liquidity."
"16","2023-08-10","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1277","Focus on inflation control measures."
"17","2023-10-06","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1287","Pre-festive season policy influencing short-term markets."
"18","2023-12-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1297","Year-end policy review and guidance."
"19","2024-02-08","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1307","Early 2024 outlook amid fiscal policy changes."
"20","2024-04-05","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1317","Spring update addressing external sector developments."
"21","2024-06-07","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1327","Mid-year inflation and growth assessment."
"22","2024-08-09","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1337","Pre-festive season economic outlook."
"23","2024-10-04","Shaktikanta Das","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1347","Pre-Diwali policy update influencing market sentiment."
"24","2024-12-11","Sanjay Malhotra","Statement on Monetary Policy","First MPC as Governor","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1358","First policy speech by new Governor; signals potential policy shifts."
"25","2025-04-09","Sanjay Malhotra","Statement on Monetary Policy","Monetary Policy Committee Meeting","https://www.rbi.org.in/Scripts/BS_SpeechesView.aspx?Id=1368","Early 2025 policy under new Governor; closely watched by markets."